TCP_name_heading,entity_type,entity_title,wiki_entity_id,description,what,aliases,Library of Congress authority ID,VIAF cluster ID,Oxford Dictionary of National Biography ID,Encyclopædia Britannica Online ID,writing language,date of birth,date of death,manner of death,cause of death,country of citizenship,occupation,student of,position held,field of work,religion or worldview,sex or gender,educated at,diocese,described by source,Oxford DNB Link
Achilles Tatius,PERSON,Achilles Tatius,Q221951,ancient Greek novellist,human,['Achilleus Tatios'],n80009786,"['89002230', '5902159248143904870005', '100218741', '130158790509738850716']",,biography/Achilles-Tatius,Ancient Greek (Q35497),+0200-00-00T00:00:00Z,+0300-00-00T00:00:00Z,,,Ancient Rome (Q1747689),writer (Q36180),,,,,male (Q6581097),,,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Encyclopedic Lexicon (Q4532135)', 'Pauly–Wissowa (Q1138524)', 'Literary Encyclopedia 1929—1939 (Q4263804)', '1870 Dictionary of Greek and Roman Biography and Mythology (Q47500198)', ""Russian translation of Lübker's Antiquity Lexicon (Q30059240)"", 'Encyclopædia Britannica 11th edition (Q867541)', ""Library of the World's Best Literature (Q19098835)"", 'The Nuttall Encyclopædia (Q3181656)', 'Meyers Konversations-Lexikon, 4th edition (1885–1890) (Q19219752)', ""Orgelbrand's Universal Encyclopedia (Q19798659)""]",
"Adam Contzen, 1571-1635",PERSON,Adam Contzen,Q4678889,German economist,human,,n83124743,69721022,,,,+1571-04-17T00:00:00Z,+1635-06-19T00:00:00Z,,,,economist (Q188094),,,,Catholicism (Q1841),male (Q6581097),,,Allgemeine Deutsche Biographie (Q590208),
"Adam Henricpetri, active 1576",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Littleton, 1627-1694",PERSON,Adam Littleton,Q15994585,British cleric and lexicographer,human,,n85195645,76665446,16780.0,,,+1627-01-01T00:00:00Z,+1694-01-01T00:00:00Z,,,Kingdom of England (Q179876),"['translator (Q333634)', 'Anglican priest (Q3409375)', 'lexicographer (Q14972848)']",,,,Anglicanism (Q6423963),male (Q6581097),Christ Church (Q745967),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Littleton,_Adam"
"Adriaan Matham, 1599?-1660, engraver",PERSON,Adriaen Matham,Q4684802,"Dutch Golden Age painter, engraver and art dealer (ca. 1599-1660)",human,"['Adriaan Matham', 'Adriaen Jacoby Matham', 'Adriaen Jacobsen Mathan', 'Adriaen Maetham', 'Adriaen Metham', 'Matham', 'Adri. Matham', 'Matheam tot Haerlem', 'Adriaan Jacobsz Matham']",no2015017636,"['102396156', '295919274', '9569159248061104870002']",,,,"['+1590-01-01T00:00:00Z', '+1599-00-00T00:00:00Z']",+1660-11-23T00:00:00Z,,,Netherlands (Q55),"['printmaker (Q11569986)', 'painter (Q1028181)', 'art dealer (Q173950)', 'graphic artist (Q1925963)', 'visual artist (Q3391743)', 'illustrator (Q644687)', 'print publisher (Q65123129)', 'draftsperson (Q15296811)', 'copper engraver (Q13365770)', 'merchant (Q215536)']",,,"['visual arts (Q36649)', 'drawing (Q93184)', 'copper engraving technique (Q4287629)', 'book illustration (Q998555)', 'art commerce (Q20081142)', 'portrait (Q134307)']",,male (Q6581097),,,Allgemeine Deutsche Biographie (Q590208),
"Adrian von Mynsicht, 1603-1638",PERSON,Adrian von Mynsicht,Q3605645,German alchemist,human,,n00122752,100202730,,,,"['+1588-01-01T00:00:00Z', '+1603-01-01T00:00:00Z']","['+1638-01-01T00:00:00Z', '+1638-10-01T00:00:00Z']",,,Germany (Q183),"['chemist (Q593644)', 'physician (Q39631)']",,,,,male (Q6581097),,,Allgemeine Deutsche Biographie (Q590208),
"Adriano Banchieri, died 1634",PERSON,Adriano Banchieri,Q347804,Italian composer,human,['Adriano da Bologna'],n81024793,32034546,,biography/Adriano-Banchieri,,+1568-09-03T00:00:00Z,+1634-01-01T00:00:00Z,,,,"['organist (Q765778)', 'composer (Q36834)', 'musicologist (Q14915627)', 'music theorist (Q16031530)', 'poet (Q49757)', 'religious (Q2566598)', 'instrumentalist (Q1278335)']",Gioseffo Guami (Q610708),,,,male (Q6581097),,,"[""Riemann's Music Dictionary (Q27680201)"", 'Encyclopædia Britannica 11th edition (Q867541)']",
"Adrien Saravia, 1530-1612",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Ady Ady, Thomas",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Aegidius Gelius, engraver",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
Aelianus,PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Agostino Mascardi, 1591-1640",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alardis Alardis, James",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alberico Gentili, 1552-1608",PERSON,Alberico Gentili,Q1445910,Italian jurist (1552-1608),human,,n50081738,76355446,10522.0,biography/Alberico-Gentili,,+1552-01-14T00:00:00Z,+1608-06-19T00:00:00Z,,,United Kingdom (Q145),"['jurist (Q185351)', 'university teacher (Q1622272)', 'lawyer (Q40348)']",Giampaolo Lanceotti (Q55739877),Regius Professor of Civil Law (Q7309474),,Protestantism (Q23540),male (Q6581097),University of Perugia (Q748085),,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Great Soviet Encyclopedia (1969–1978) (Q17378135)', 'BEIC Digital Library (Q51955019)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Albert Girard, 1595-1632",PERSON,Albert Girard,Q548301,French mathematician (1595-1632),human,,n86847423,66498076,,biography/Albert-Girard,French (Q150),"['+1595-01-01T00:00:00Z', '+1595-10-11T00:00:00Z']",+1632-12-08T00:00:00Z,,,Dutch Republic (Q170072),"['mathematician (Q170790)', 'engineer (Q81096)']",,,,,male (Q6581097),Leiden University (Q156598),,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'BEIC Digital Library (Q51955019)']",
"Albin de Valsergues, Jean d' Albin de Valsergues, Jean d', died 1566",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Brome, 1620-1666",PERSON,Alexander Brome,Q4718430,British poet,human,,n83063944,42186213,3501.0,biography/Alexander-Brome,English (Q1860),+1620-01-01T00:00:00Z,"['+1666-06-30T00:00:00Z', '+1666-01-01T00:00:00Z']",,,United Kingdom (Q145),"['poet (Q49757)', 'translator (Q333634)', 'writer (Q36180)']",,,,,male (Q6581097),,,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Dictionary of National Biography, 1885–1900 (Q15987216)', 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)""]",
"Alexander Cooke, 1564-1532",PERSON,Alexander Cooke,Q4718633,actor,human,,,,,,,,+1614-02-01T00:00:00Z,,,,"['stage actor (Q2259451)', 'actor (Q33999)']",,,,,male (Q6581097),,,,
"Alexander Cooke, 1564-1632",PERSON,Alexander Cooke,Q4718633,actor,human,,,,,,,,+1614-02-01T00:00:00Z,,,,"['stage actor (Q2259451)', 'actor (Q33999)']",,,,,male (Q6581097),,,,
"Alexander Craig, 1567?-1627",PERSON,Alexander George Craig,Q4718936,British poet (1897–1973),human,,n85273687,22501084,,,,+1897-01-01T00:00:00Z,+1973-01-01T00:00:00Z,,,,poet (Q49757),,,,,male (Q6581097),,,,
"Alexander Gill, 1565-1635",PERSON,Alexander Gill the Elder,Q4718953,"English scholar, spelling reformer, and high-master of St Paul's School, London (1565-1635)",human,"['Alexander Gill the Elder', 'Alexander Gil']",n50027760,88867642,10729.0,,,"['+1565-02-07T00:00:00Z', '+1565-00-00T00:00:00Z']",+1635-11-17T00:00:00Z,,,Kingdom of England (Q179876),linguist (Q14467526),,,,,male (Q6581097),Corpus Christi College (Q1135137),,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Alexander Gill, 1597-1642",PERSON,Alexander Gill the Elder,Q4718953,"English scholar, spelling reformer, and high-master of St Paul's School, London (1565-1635)",human,"['Alexander Gill the Elder', 'Alexander Gil']",n50027760,88867642,10729.0,,,"['+1565-02-07T00:00:00Z', '+1565-00-00T00:00:00Z']",+1635-11-17T00:00:00Z,,,Kingdom of England (Q179876),linguist (Q14467526),,,,,male (Q6581097),Corpus Christi College (Q1135137),,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Alexander Griffith, died 1690",PERSON,Alexander Griffith,Q4719014,Welsh Royalist cleric,human,,n85216051,33440749,11593.0,,,+1601-00-00T00:00:00Z,+1676-04-21T00:00:00Z,,,,"['writer (Q36180)', 'Anglican priest (Q3409375)']",,,,Anglicanism (Q6423963),male (Q6581097),University of Oxford (Q34433),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Griffith,_Alexander"
"Alexander Hart, active 1640",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Henderson, 1583?-1646",PERSON,Alexander Henderson (priest),Q20987322,Scottish episcopalian priest,human,,,,,,,+1807-00-00T00:00:00Z,+1888-00-00T00:00:00Z,,,,priest (Q42603),,,,,male (Q6581097),University of Aberdeen (Q270532),,,
"Alexander Hume, 1560?-1609",PERSON,Alexander Hume,Q4719176,"Scottish poet, died 1609",human,,nr89009305,41709845,14133.0,biography/Alexander-Hume,,+1560-01-01T00:00:00Z,+1609-12-04T00:00:00Z,,,,"['poet (Q49757)', 'writer (Q36180)']",,Moderator of the General Assembly of the Church of Scotland (Q6888514),,Presbyterianism (Q178169),male (Q6581097),University of St Andrews (Q216273),,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Alexander Leighton, 1568-1649",PERSON,Alexander Leighton,Q4719383,(1570-1634) Scottish medical doctor and puritan preacher,human,,n85056820,120201643,16395.0,,,+1570-01-01T00:00:00Z,+1649-01-01T00:00:00Z,,,,physician (Q39631),,,,,male (Q6581097),"['University of St Andrews (Q216273)', 'Leiden University (Q156598)']",,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Alexander Leighton, 1568-1649, attributed name",PERSON,Alexander Leighton,Q4719383,(1570-1634) Scottish medical doctor and puritan preacher,human,,n85056820,120201643,16395.0,,,+1570-01-01T00:00:00Z,+1649-01-01T00:00:00Z,,,,physician (Q39631),,,,,male (Q6581097),"['University of St Andrews (Q216273)', 'Leiden University (Q156598)']",,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Alexander Montgomerie, 1545?-1598",PERSON,Alexander Montgomerie,Q4302000,Scottish courtier and poet,human,,n84177125,100909824,19052.0,biography/Alexander-Montgomerie,,+1545-01-01T00:00:00Z,+1598-08-22T00:00:00Z,,,,"['writer (Q36180)', 'poet (Q49757)']",,,,Catholicism (Q1841),male (Q6581097),,,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', 'New International Encyclopedia (Q1029706)']",
"Alexander Neville, 1544-1614",PERSON,Alexander Neville,Q2833909,Archbishop of York from 1374 to 1388,human,['Alexander de Neville'],n85029734,53109409,19922.0,,,+1332-00-00T00:00:00Z,+1392-01-01T00:00:00Z,,,Kingdom of England (Q179876),Catholic priest (Q250867),,"['Roman Catholic archbishop of York (Q108394736)', 'Roman Catholic Bishop of Saint Andrews (Q122307639)']",,Catholic Church (Q9592),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Alexander Parker, 1628-1689",PERSON,Alexander Parker (Quaker),Q4719803,Christian minister (1628-1689),human,,n84087772,32342456,21291.0,,,+1628-06-21T00:00:00Z,+1689-03-08T00:00:00Z,,,,Christian minister (Q1423891),,,,Quakers (Q170208),male (Q6581097),,,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Pemberton Correspondence (Q110880456)']",
"Alexander Petrie, 1594?-1662",PERSON,Alexander Petrie (minister),Q18729954,Minister of the Church of Scotland; Minister of the Scots Kirk in Rotterdam,human,,n85013724,37262280,22050.0,,,+1594-00-00T00:00:00Z,+1662-00-00T00:00:00Z,,,Kingdom of Scotland (Q230791),Christian minister (Q1423891),,,,,male (Q6581097),University of St Andrews (Q216273),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Petrie,_Alexander"
"Alexander Pitcarne, 1622?-1695",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Pringle, of Harwich",PERSON,Alexander Pringle,Q4719885,British politician,human,,,,,,,+1791-01-30T00:00:00Z,+1857-09-02T00:00:00Z,,,"['United Kingdom of Great Britain and Ireland (Q174193)', 'Kingdom of Great Britain (Q161885)']",politician (Q82955),,"['member of the 14th Parliament of the United Kingdom (Q41582553)', 'member of the 13th Parliament of the United Kingdom (Q41582550)', 'member of the 12th Parliament of the United Kingdom (Q41582548)', 'member of the 10th Parliament of the United Kingdom (Q41582545)', 'member of the 9th Parliament of the United Kingdom (Q41582544)']",,,male (Q6581097),,,,
"Alexander Read, 1586?-1641",PERSON,Alexander Read (surgeon),Q55603591,president of the Royal College of Surgeons in Ireland,human,,,,,,,+1786-01-01T00:00:00Z,,,,,surgeon (Q774306),,,,,male (Q6581097),,,,
"Alexander Read, Doctor of Divinitie",PERSON,Alexander Read (surgeon),Q55603591,president of the Royal College of Surgeons in Ireland,human,,,,,,,+1786-01-01T00:00:00Z,,,,,surgeon (Q774306),,,,,male (Q6581097),,,,
"Alexander Richardson, of Queen's College, Cambridge",PERSON,Alexander Robert Richardson,Q21535332,(1847-1931) pastoralist,human,,,2932148390830310830008,,,,+1847-07-04T00:00:00Z,+1931-05-02T00:00:00Z,,,Australia (Q408),politician (Q82955),,Member of the Western Australian Legislative Assembly (Q20165902),,,male (Q6581097),,,,
"Alexander Roberts, died 1620",PERSON,Alexander Roberts,Q15627347,Scottish biblical scholar,human,,nr93000026,56653741,35767.0,,,+1826-05-12T00:00:00Z,+1901-03-08T00:00:00Z,,,,"['biblical scholar (Q19829990)', 'translator (Q333634)']",,,,,male (Q6581097),University of Aberdeen (Q270532),,"Dictionary of National Biography, second supplement (Q16014697)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1912_supplement/Roberts,_Alexander"
"Alexander Ross, 1591-1654",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Ross, 1591-1654, attributed name",PERSON,Alexander Ross (poet),Q1308761,British poet (1699-1784),human,,nr93034037,2343705,24112.0,,,+1699-04-13T00:00:00Z,+1784-05-20T00:00:00Z,,,Kingdom of Great Britain (Q161885),"['poet (Q49757)', 'writer (Q36180)']",,,,,male (Q6581097),,,"['Dictionary of National Biography, 1885–1900 (Q15987216)', ""Library of the World's Best Literature (Q19098835)"", 'Encyclopædia Britannica 11th edition (Q867541)']",
"Alexander Scrogie, died 1661",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Shields, 1660?-1700",PERSON,Alexander Shields,Q4720083,"Scottish nonconformist minister, activist, and author",human,['Alexander Sheilds'],n84233874,5273712,25302.0,,,+1660-01-01T00:00:00Z,+1700-01-01T00:00:00Z,,,,Christian minister (Q1423891),,,,Presbyterianism (Q178169),male (Q6581097),University of Edinburgh (Q160302),,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Sheilds,_Alexander"
"Alexander Udny, minister of Hauking in Kent",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexandre de Pontaymeri, died 1618",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfonso Ferrabosco, circa 1575-1628",PERSON,Alfonso Ferrabosco the elder,Q726096,Italian composer (1543–1588),human,"['Alfonso Ferrabosco', 'Alfonso Ferrabosco Sr.', 'Alfonso Ferrabosco I']",n82224324,71586831,9352.0,biography/Alfonso-Ferrabosco-I,,+1543-01-18T00:00:00Z,+1588-08-12T00:00:00Z,,,,"['composer (Q36834)', 'musician (Q639669)']",,,"['music (Q638)', 'plucked instrument playing (Q137362723)']",,male (Q6581097),,,"['Dictionary of National Biography, 1885–1900 (Q15987216)', ""Riemann's Music Dictionary (Q27680201)""]",
"Alford Alford, Joseph",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Allwyn Allwyn, Robert",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alonso Alonso, de Madrid",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Alonso de Castillo Solórzano, 1584-1648?",PERSON,Alonso de Castillo Solórzano,Q5604790,Spanish writer,human,['Alonso de Castillo Solorzano'],"['n92076380', 'n83230181']","['32360', '314808241']",,biography/Alonso-de-Castillo-Solorzano,,"['+1584-10-01T00:00:00Z', '+1584-01-01T00:00:00Z']",+1648-01-01T00:00:00Z,,,Spain (Q29),"['writer (Q36180)', 'novelist (Q6625963)']",,,,,male (Q6581097),,,"[""Library of the World's Best Literature (Q19098835)"", 'Encyclopædia Britannica 11th edition (Q867541)']",
"Ambroise Paré, 1510?-1590",PERSON,Ambroise Paré,Q276480,French surgeon,human,['Ambroise Pare'],n50050248,73958939,,biography/Ambroise-Pare,Middle French (Q1473289),+1510-00-00T00:00:00Z,+1590-12-20T00:00:00Z,,,Kingdom of France (Q70972),"['surgeon (Q774306)', 'anatomist (Q10872101)', 'medical instrument maker (Q66060301)', 'military physician (Q4002666)']",,,medicine (Q11190),,male (Q6581097),"['Collège de France (Q202660)', 'University of Paris (Q209842)']",,"['Nordisk familjebok (Q678259)', 'Armenian Soviet Encyclopedia (Q2657718)', ""Otto's encyclopedia (Q2041543)"", 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'BEIC Digital Library (Q51955019)', 'Yuzhakov Big Encyclopedia (Q4091878)', 'The Nuttall Encyclopædia (Q3181656)', 'Meyers Konversations-Lexikon, 4th edition (1885–1890) (Q19219752)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Encyclopædia Britannica 11th edition (Q867541)', 'The Catholic Encyclopedia (Q302556)']",
"Ambrose Fisher, died 1617",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Ambrose Rigge, 1635?-1705",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Amerie Amerie, Robert",PERSON,Robert (singer),Q549356,"French singer, composer and lyricist",human,"['Myriam Roulet', 'Myriam Saladin née Roulet', 'Robert']",,17422522,,,,+1964-10-14T00:00:00Z,,,,France (Q142),"['actor (Q33999)', 'singer (Q177220)', 'songwriter (Q753110)', 'singer-songwriter (Q488205)']",,,,,female (Q6581072),,,,
Ammianus Marcellinus,PERSON,Ammianus Marcellinus,Q172198,4th-century Roman historian and soldier,human,['Ammianus'],n80065875,"['89594750', '76144648275775640523', '104153172']",,biography/Ammianus-Marcellinus,Latin (Q397),"['+0330-00-00T00:00:00Z', '+0330-00-00T00:00:00Z', '+0320-00-00T00:00:00Z']","['+0395-00-00T00:00:00Z', '+0400-00-00T00:00:00Z', '+0400-00-00T00:00:00Z']",,,Ancient Rome (Q1747689),"['historian (Q201788)', 'writer (Q36180)', 'military personnel (Q47064)']",,,historiography (Q50675),polytheism (Q9163),male (Q6581097),,,"['Encyclopedic Lexicon (Q4532135)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Jewish Encyclopedia of Brockhaus and Efron (Q4173137)', 'Great Soviet Encyclopedia (1926–1947) (Q20078554)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Orthodox Theological Encyclopedia (Q19211082)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Pauly–Wissowa (Q1138524)', 'The Nuttall Encyclopædia (Q3181656)', 'Kościelna encyclopedia (Q9253865)', ""Russian translation of Lübker's Antiquity Lexicon (Q30059240)"", ""Orgelbrand's Universal Encyclopedia (Q19798659)"", 'Granat Encyclopedic Dictionary (Q4532138)', 'Armenian Soviet Encyclopedia, vol. 1 (Q123560817)']",
"Amyas Amyas, Richard",PERSON,Richard Carpenter (musician),Q577671,American pop musician,human,['Richard Lynn Carpenter'],n89635213,35546215,,,,+1946-10-15T00:00:00Z,,,,United States (Q30),"['conductor (Q158852)', 'singer (Q177220)', 'songwriter (Q753110)', 'jazz musician (Q15981151)', 'pianist (Q486748)', 'record producer (Q183945)']",,,,,male (Q6581097),"California State University, Long Beach (Q1026926)",,,
"Andreas Hildebrandt, died 1637",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreas Hyperius, 1511-1564",PERSON,Andreas Hyperius,Q84981,Flemish theologian (1511-1564),human,['Andreas Gerhard Hyperius'],n82116518,76446885,,,,+1511-05-16T00:00:00Z,+1564-02-01T00:00:00Z,,,"['Germany (Q183)', 'Southern Netherlands (Q6581823)']","['theologian (Q1234713)', 'university teacher (Q1622272)', 'writer (Q36180)', 'pedagogue (Q1231865)']",,,"['theology (Q34178)', 'educational system (Q446760)']",Protestantism (Q23540),male (Q6581097),,,"['Allgemeine Deutsche Biographie (Q590208)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)']",
