id,title,authors,publisher,pubplace,date,subject_heading
B11899,"Diatelesma. The second part of the moderne history of the vvorld containing the last summers actions, in Languedock, Italy, Piemont, Montferrat, Lorrain, the Dukedome of Burgundy, the Franch country, and generally in France, Holland, the West-Indies, and marine occurrences; with some passages of Rome, and Turkey, brought downe to Novemb. 1637.",N. C.,Printed by T Harper and are to be sold by Nathanael Butter and Nicholas Bourne,London,1637,"Thirty Years' War, 1616-1648 --  Early works to 1800."
B13575,"The life and death of Griffin Flood informer Whose cunning courses, churlish manners, and troublesome informations, molested a number of plaine dealing people in this city of London. Wherein is also declared the murther of Iohn Chipperford Vinter, for twich fact the said Griffin Flood was pressed to death the 18. day of Ianuary last past.",Anonymous,Printed by G Eld for I T rundle and are to be sold at the signe of the Bible without New Gate by J Wright,London,1623,"Flood, Griffin, d. 1623.; Chipperford, John."
A89727,"The northerne intelligencer: communicating the affayres of those parts; and particularly, the agitations of Mr. Hugh Peeters, in five severall counties. With a letter directed to him at Northampton.",A. P.,s n,London,1648,"Peters, Hugh, 1598-1660.; Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800."
A88129,"The life and death of King Richard the second, who was deposed of his crown, by reason of his not regarding the councell of the sage and wise of his kingdom, but followed the advice of of [sic] wicked and lewd councell, and sought as farre as in him lay, to deprive many good English subjects of their lives and estates, who stood wholly for the good of the commonalty; but at a Parliament holden, his counsellors were all called, whereof some fled, others received condigne punishment according to the law. Published by a Well-wisher to the common-wealth, being worthy the observation of all men in these times of distractions.",Well-wisher to the Common-wealth.,Printed for G Tomlinson and T Watson,London,1642,"Richard, --  King of England, 1367-1400."
A81680,"A strange and wonderful prophesie of Mr. Douglas a Scotchman; written by his own hand, and sent to their young King, full of wonder and admiration: wherein he foretels the great things that shall befall his person, this present yea[r] [1]651. VVith a great battel to be fought on the 15. of May next, between the English and the Scots, the event and success thereof 20. Lords to b[e] beheaded, and 20000 horse and foot totally vanquished and subdued, and what [shall] happen upon the obtaining this great victory. Also the S[c]ots Kings dream, the same night, after he was crowned, concerning England, Scotland, and Ireland, and by himself interpreted, and delivered to the Lord of his privie councel; VVith the strange apparation that appeared to him in the said dream, and the Lord Ogleby his speech touching the same. Signed by James Douglas, the authour of these prophetical observations, and licensed according to order.","Queensberry, James Douglas, Duke of, 1662-1711.",Printed by J C,London,1651,"Prophecies --  17th century.; Great Britain --  History --  Commonweath and Protectorate, 1649-1660 --  Early works to 1800."
A92822,"A Second part of the prisoners remonstrance shewing their sad and heavy pressures with a speedy remedy, and a way for the inlargement of all prisoners for debt, and civil causes. Also many choice points of law worthy every mans knowledge touching the illegallity of the former Act, and some seasonable proposals for the new; for for all mens view, but more especially for prisoners and creditors, and such as are upon their intrest concerned. Together with a tast of the salt sold at salters-hal, and in too many places of this Common-wealth, or certain cases instanced by which their justice may appear; published least men should be deceived or poisoned therewith.",Anonymous,s n,London,1654,"Prisoners --  Early works to 1800.; Debt, Imprisonment for --  England --  Early works to 1800."
A93161,"Twelve strange proehesies [sic], besides Mother Shiptons, predicting wonderfull events to betide these years of danger in this climate, whereof some have already come to passe well worthy of note. Most of them were found in the reignes of Edward the fourth, and Henry the eighth, Kings of England, and are these which follow: viz. 1. Mother Shiptons prophesies. 2. The blind mans prophesie. 3. Ignatius Loyala - 4. Sybilla's prophesie. 5. Merlins prophesie. 6. Orwell Bins prophesie. 7. M. Brightmans prophesie. 8. M. Giftheils prophesie. With five other prophesies, never before printed. Whereunto is added the predictions of M. John Saltmarsh, to his Excellency the Lord Fairfax, and the Councell of his army: as also the manner of his death. Now printed and published for the satisfaction of those who have been abused by false and imperfect copies; with marginall notes on Mother Shiptons prophesies.",Anonymous,Newly printed for Francis Coles at the signe of the Half Bowle in the Old Bayly,London,1648,"Shipton, --  Mother --  (Ursula) --  Prophecies --  Early works to 1800.; Prophecies --  Early works to 1800."
A95335,"Truth seeks no corners: or, Seven cases of conscience humbly presented to the Army and Parliament.",Anonymous,s n,London,1659,Great Britain --  Politics and government --  1649-1660 --  Early works to 1800.
A75326,"A meanes to reconcile the present distempers of these times, as things now are. Set out by a member of the present Parliament.","Anderson, Henry, b. 1581 or 2.",s n,London,1648,"Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800."
A62149,"A genealogical history of the kings of England, and monarchs of Great Britain, &c. from the conquest, anno 1066 to the year, 1677 in seven parts or books, containing a discourse of their several lives, marriages, and issues, times of birth, death, places of burial, and monumental inscriptions : with their effigies, seals, tombs, cenotaphs, devises, arms, quarterings, crests, and supporters : all engraven in copper plates / furnished with several remarques and annotations by Francis Sanford, Esq. ...","King, Gregory, 1648-1712.; Gaywood, Richard, fl. 1650-1680.; Sandford, Francis, 1630-1694.; Hollar, Wenceslaus, 1607-1677.; Barlow, Francis, 1626?-1702.",Printed by Tho Newcomb for the author,London In the Savoy,1677,Great Britain --  History --  1066-1687.
A67715,Cyrus le Grand the entire story Done into English by a person of quality and dedicated to the late King,"Marshall, William, fl. 1617-1650, engraver.; Xenophon.",Printed for William Hope inter press,London,1654,"Cyrus, --  King of Persia, d. 529 B.C. --  Early works to 1800."
A44893,Hugh Peters's dreame,Anonymous,s n,London,1659,"Peters, Hugh, 1598-1660.; Religious satire, English."
A54301,"The compleat swimmer, or, The art of swimming demonstrating the rules and practice thereof in an exact, plain and easie method : necessary to be known and practised by all who studie or desire their own preservation / by William Percey, Gent.","Percey, William, Gent.",Printed by J C for Henry Fletcher,London,1658,Swimming --  Rules --  Early works to 1800.; Swimming --  Early works to 1800.
A53310,"The last vvill and testament of Philip Herbert, burgesse for Bark-shire, vulgarly called Earl of Pembroke and Montgomery, who dyed of foole-age, Jan. 23, 1650 with his life and death, and severall legacies to the Parliament and councel of state : also his elegy, taken verbatim in time of his sicknesse, and published to prevent false copies by Michael Oldisworth.",Anonymous,Printed in the fall of tyranny and resurrection of loyalty,Nod nol i e London,1650,"Pembroke, Philip Herbert, --  Earl of, 1584-1650.; Oldisworth, Michael, 1591-1654?"
A52243,"Newes out of the west, or, The character of a mountebank being a discourse betweene Hodge Leather-Pelch, and Tym Hob-Nayle, Sir Harry-Hart-Hole their land-lord, and his friend Sir Clement Councell  : also of their travels from Taunton to London, their arrivall at their physitians pallace, the description of it, his sick and brain-sick followers, person and family, with a full relation of the medicines hee commonly administers, their operation and danger represented by them : also a relation of their abuses now suffered and fomented by authority, with a remedy set down, to the encouragement of physitians, illustration of the honour'd art and generall good of the Re-publicque / by a well willer to physick and chirurgerie and deplorer of the now too common neglect of them.",Well willer to physick and chirurgerie and deplorer of the now too common neglect of them.,s n,London,1647,Quacks and quackery --  Great Britain --  Early works to 1800.
A55986,"The history of the warres of the Emperour Justinian in eight books : of the Persian, II, Vandall, II, Gothicke, IV / written in Greek by Procopivs of Caesarea ; and Englished by Henry Holcroft, Knight.","Holcroft, Henry, Sir.; Procopius.",Printed for Humphrey Moseley,London,1653,"Justinian --  I, --  Emperor of the East, 483?-565.; Vandals.; Goths --  Italy.; Byzantine Empire --  History --  Justinian I, 527-565.; Iran --  History --  To 640."
A10209,"An alarum for ladyes by the Sieur de la Serre, historiographer of France ; nevvly turn'd out of Franch [sic] into English by Francis Hawkins, dravving on to the tenth yeare of his age.","La Serre, M. de (Jean-Puget), ca. 1600-1665.",Chez Nicolas Iean de la Coste au mont S Hilaire a l Escu de Bretagne,A Paris,1638,Women --  Conduct of life --  Early works to 1800.
A11620,"The tillage of light· Or, A true discouerie of the philosophicall elixir, commonly called the philosophers stone Seruing, to enrich all true, noble and generous spirits, as will aduenture some few labors in the tillage of such a light, as is worthy the best obseruance of the most wise. By Patrick Scot, Esquire.","Scot, Patrick.",Printed by Augustine Mathewes for William Lee and are to be sold at his shop neere Serieants Inne in Fleetstreet at the signe of the Golden Bucke,London,1623,Alchemy --  Early works to 1800.
A19029,"A right frutefull and approoued treatise, for the artificiall cure of that malady called in Latin Struma, and in English, the evill, cured by kinges and queenes of England Very necessary for all young practizers of chyrurgery. Written by William Clowes, one of her Maiesties chyrurgions, in the yeare of our Lord. 1602.","Clowes, William, ca. 1540-1604.",By Edward Allde and are now to bee solde at Master Laybournes a barber chirurgian dwelling vpon Saint Mary Hill neere Billings gate,Imprinted at London,1602,Scrofula --  Treatment --  Early works to 1800.
A13315,"The A, B, C, of armes, or, An introduction directorie whereby the order of militarie exercises may easily bee vnderstood, and readily practised, where, when, and howsoeuer occasion is offered / by I.T. ...",I. T.,Printed by W Stansby for Iohn Helmes and are to be sold at his shop in S Dunstane Church yard in Fleet street,London,1616,Infantry drill and tactics --  Early works to 1800.; Infantry --  Equipment --  Early works to 1800.
A04763,The trades increase,"J. R. (John Roberts); Kayll, Robert.",Printed by Nicholas Okes and are to sold by Walter Ba rre,London,1615,East India Company.; Great Britain --  Commerce.
A03960,"A discourse, betvveene Vpright the shoomaker and Master Pattent, the smith Both meeting on the horse exchange in Smithfield, on the 20. day of Aprill 1639. Ne sutor vltra crepidam. By T.J.","T. J., fl. 1640.",Printed by B Alsop and T F awcet for Francis Groves dwelling on Snow Hill neare the Sarazens Head,London,1640,"Dialogues, English --  Early works to 1800."
A65370,"Metallographia, or, A history of metals wherein is declared the signs of ores and minerals both before and after digging ... : as also, the handling and shewing of their vegetability ... : gathered forth of the most approved authors that have written in Greek, Latine, or High-Dutch ... / by John Webster ...","Webster, John, 1610-1682.",Printed for A C for Walter Kettilby,London,1671,Metals --  Early works to 1800.; Alchemy.
A63523,"The True history of the Duke of Guise extracted out of Thuanus, Mezeray, Mr. Aubeny's Memoirs and the Journal of the reign of Henry the Third of France : published for the undeceiving such as may perhaps be imposed upon by","Aubigné, Agrippa d', 1552-1630. Mémoires.; Thou, Jacques-Auguste de, 1553-1617.; L'Estoile, Pierre de, 1546-1611. Journal de Henri III. English.; Mézeray, François Eudes de, 1610-1683.",Printed and are to be sold by R Baldwin,London,1683,"Guise, Henri, --  duc de, 1550-1588.; Henry --  III, --  King of France, 1551-1589.; Dryden, John, 1631-1700. --  Duke of Guise."
A55409,"Poor Robins character of a Dutch-man as also his predictions on the affairs of the United Provinces of Holland, together with a brief epitomy of the ingratitude of the Dutch, and the English at Amboyna, Polaroon and other islands in the East Indies.","Poor Robin.; Winstanley, William, 1628?-1698.",Printed for Benjamin Harris,London,1672,"Great Britain --  History --  Charles II, 1660-1685.; Great Britain --  Foreign relations --  Netherlands.; Netherlands --  Foreign relations --  Great Britain."
A58110,The careless lovers a comedy acted at the Duke's theatre / written by Edward Ravenscrofts ...,"Ravenscroft, Edward, 1654?-1707.",Printed for William Cademan,London,1673,"Molière, 1622-1673. --  Monsieur de Pourceaugnac."
A51553,"A tutor to astronomie and geographie, or, An easie and speedy way to know the use of both the globes, coelestial and terrestrial in six books : the first teaching the rudiments of astronomy and geography, the 2. shewing by the globes the solution of astronomical & geographical probl., the 3. shewing by the globes the solution of problems in navigation, the 4. shewing by the globes the solution of astrological problemes, the 5. shewing by the globes the solution of gnomonical problemes, the 6. shewing by the globes the solution of of [sic] spherical triangles : more fully and amply then hath ever been set forth either by Gemma Frisius, Metius, Hues, Wright, Blaew, or any others that have taught the use of the globes : and that so plainly and methodically that the meanest capacity may at first reading apprehend it, and with a little practise grow expert in these divine sciences / by Joseph Moxon ; whereunto is added Antient poetical stories of the stars, shewing reasons why the several shapes and forms are pictured on the coelestial globe, collected from Dr. Hood ; as also a Discourse of the antiquity, progress and augmentation of astronomie.","Moxon, Joseph, 1627-1691.; Hood, Thomas, fl. 1582-1598.",Printed by Joseph Moxon,London,1659,Astronomy --  Early works to 1800.; Globes --  Early works to 1800.; Sundials --  Early works to 1800.
A51316,"The second lash of Alazonomastix, laid on in mercie upon that stubborn youth Eugenius Philalethes, or, A sober reply to a very uncivill answer to certain observations upon Anthroposophia theomagica, and Anima magica abscondita","More, Henry, 1614-1687.",Printed by the printers to the University of Cambridge,Cambridge,1651,"Vaughan, Thomas, 1622-1666. --  Man-mouse taken in a trap.; Vaughan, Thomas, 1622-1666. --  Anima magica abscondita.; Vaughan, Thomas, 1622-1666. --  Anthroposophia theomagica.; Alchemists --  Controversial literature."
A53051,Orations of divers sorts accommodated to divers places written by the Lady Marchioness of Newcastle.,"Newcastle, Margaret Cavendish, Duchess of, 1624?-1674.",s n,London,1662,Great Britain --  Politics and government --  1660-1688.
A58326,"A letter of Francesco Redi concerning some objections made upon his Observations about vipers written to Monsieur Bourdelot ... and Monsieur Alexander Morus : printed in Italian at Florence, 1670 / now made English ; together with the sequel of New experiments upon vipers, and a dissertation upon their poyson ... written in French by Moyse Charas ; now likewise Englished.","Redi, Francesco, 1626-1698.; Charas, Moyse, 1619-1698. Nouvelles expériences sur la vipère. Suite. English.",Printed by T R for John Martyn,London,1673,"Redi, Francesco, 1626-1698. --  Osservazioni intorno alle vipere.; Snakes --  Early works to 1800."
A46278,"The triumphs of London performed on Tuesday, October XXIX, 1678, for the entertainment of the right honourable and truly noble pattern of prudence and loyalty, Sir James Edwards, knight, Lord Mayor of the city of London, containing a true description of the several pageants with the speeches spoken on each pageant, together with the songs sung in this solemnity, all set forth at the proper costs and charges of the worshipful company of grocers / designed and composed by Tho. Jordan, gent.","Grocers' Company (London, England); Jordan, Thomas, 1612?-1685?",Printed for John Playford,London,1678,"Edwards, James, --  Sir, d. 1691.; Festivals --  England --  London."
A46413,"King James, his apopthegmes, or table-talke as they were by him delivered occasionally and by the publisher (his quondam servant) carefully received, and now humbly offered to publique view, as not impertinent to the present times / by B.A. gent.","James I, King of England, 1566-1625.; Agar, Ben, 17th cent.",Printed by B W,London,1643,"Great Britain --  History --  Early Stuarts, 1603-1649."
A47893,The art how to know men originally written by the sieur de La Chambre ... ; rendred into English by John Davies ...,"Davies, John, 1625-1693.; La Chambre, Marin Cureau de, 1594-1669.",Printed by T R for Thomas Dring,London,1665,Physiognomy --  Early works to 1800.; Characters and characteristics.
A44314,"An attempt for the explication of the phænomena observable in an experiment published by the Honourable Robert Boyle, Esq., in the XXXV experiment of his epistolical discourse touching the aire in confirmation of a former conjecture made by R.H.","Hooke, Robert, 1635-1703.",Printed by J H for Sam Thomson,London,1661,"Boyle, Robert, 1627-1691. --  Experimentorum novorum physico-mechanicorum continuatio secunda.; Air --  Early works to 1800.; Air-pump --  Early works to 1800."
A47793,"Hymen's præludia, or, Loves master-piece being the ninth, and tenth part of that so much admir'd romance intituled Cleopatra / written originally in French ; and now rendred into English, by J.D.","Davies, John, 1625-1693.; La Calprenède, Gaultier de Coste, seigneur de, d. 1663.",Printed for Humphrey Moseley and for John Crook,London,1659,"Cleopatra, --  Queen, consort of Juba II, King of Mauretania, b. 40 B.C. --  Fiction."
A07516,"The triumphs of integrity A noble solemnity, performed through the city, at the sole cost and charges of the Honorable Fraternity of Drapers, at the confirmation and establishment of their most worthy brother, the Right Honorable, Martin Lumley, in the high office of his Maiesties Lieutenant, Lord Maior and Chancellor of the famous City of London. Taking beginning at his Lordships going, and perfecting it selfe after his returne from receiuing the oath of maioralty at Westminster, on the morrow after Simon and Iudes Day, being the 29. of October. 1623. By Tho. Middleton Gent.","Middleton, Thomas, d. 1627.",Printed by Nicholas Okes dwelling in Foster lane,London,1623,"[Lumley, Martin, --  Lord Mayor of London]."
A06713,"The Florentine historie. Written in the Italian tongue, by Nicholo Macchiavelli, citizen and secretarie of Florence. And translated into English, by T.B. Esquire","Bedingfield, Thomas, d. 1613.; Machiavelli, Niccolò, 1469-1527.",Printed by T homas C reede for VV illiam P onsonby,London,1595,Florence (Italy) --  History --  Early works to 1800.
A09098,"The repertorie of records, remaining in [brace] the 4. treasuries on the receipt side at Westminster, the two remembrancers of the Exchequer with a briefe introductive index of the records of the Chancery and Touuer, whereby to give the better direction to the records abovesaid : as also a most exact calender of all those records of the Touuer, in which are contained and comprised whatsoever may give satisfaction to the searcher, for tenure or tytle of any thing.","Agard, Arthur, 1540-1615.; Powell, Thomas, 1572?-1635?",Printed by B Alsop and T Fauucet for B Fisher dwelling at the signe of the Talbot in Aldersgate street,London,1631,Archives --  Great Britain.; Great Britain --  History --  Sources.
A08612,"The portracture of Sir Thomas Overbury, Knight, ætat 32","Elstracke, Renold, fl. 1590-1630.; W. B.; Holland, Compton.",Compton Holland,London,1616,"Overbury, Thomas, --  Sir, 1581-1613."
A00565,"Historia de donne famose. Or The Romaine iubile which happened in the yeare 855. Disputed lately, that there vvas a woman pope named Ione the eight, against all the Iesuites, by a Germaine, but especially against Rob. Bellarmine father of all controuersies, his treatise De Romano pontifico. lib. 3. cap. 24. Newly translated into English","Witekind, Hermann, d. 1603, attributed name.; German.; T. B., fl. 1599.",By Edward Allde for Edward VVhite and are to be solde at his shop neere the little north doore of S Paules at the signe of the Gun,Imprinted at London,1599,"Joan, --  Legendary Pope --  Early works to 1800.; Bellarmino, Roberto Francesco Romolo, --  Saint, 1542-1621. --  De Romano pontifico --  Controversial literature."
A07881,"The first part of the elementarie vvhich entreateth chefelie of the right writing of our English tung, set furth by Richard Mulcaster.","Mulcaster, Richard, 1530?-1611.",By Thomas Vautroullier dwelling in the blak friers by Lud gate,Imprinted at London,1582,English language --  Study and teaching --  Early works to 1800.
A06964,"The souldiers accidence. Or an introduction into military discipline containing the first principles and necessary knowledge meete for captaines, muster-masters, and all young souldiers of the infantrie, or foote bandes. Also, the cavallarie or formes of trayning of horse-troopes, as it hath beene received from the latest and best experiences armies. A worke fit for all noble, generous, and good spirits, that loue honor, or honorable action. G.M.","Markham, Gervase, 1568?-1637.",Printed by I D awson for Iohn Bellamie and are to be sold at his shop at the three golden Lyons neere the Royall Exchange,London,1625,Military art and science --  Early works to 1800.
A05320,"Characterismi: or, Lentons leasures Expressed in essayes and characters, neuer before written on. By F.L. Gent.","Lenton, Francis, fl. 1630-1640.",Printed by I ohn B eale for Roger Michell,London,1631,Characters and characteristics --  Early works to 1800.
A08253,"Oxfords triumph in the royall entertainement of his moste Excellent Maiestie, the Queene, and the Prince: the 27. of August last, 1605. With the Kings oration deliuered to the Vniuersitie, and the incorporating of diuers noble-men, Maisters of Arte.","Nixon, Anthony.",Printed by Ed Allde and are to bee solde in Paules Church yard by Iohn Hodgets,London,1605,"James --  I, --  King of England, 1566-1625 --  Early works to 1800.; University of Oxford --  Early works to 1800."
A05322,"Great Britains beauties, or, The female glory epitomized, in encomiastick anagramms, and acrostiches, upon the highly honoured names of the Queenes most gracious Majestie, and the gallant lady-masquers in her Graces glorious grand-masque. Presented at White-Hall on Shrove-Tuesday at night, by the Queenes Majestie and her ladies. With disticks, and illustrations, upon their severall anagramms, being in number fifteene, whose names ensure in order on the next side. Published by authoritie. Framed, and formed, by the humble pen of Francis Lenton, the Queenes poet.","Lenton, Francis, fl. 1630-1640.",Printed by Marmaduke Parsons for Iames Becket at the Inner Temple Gate,London,1638,Anagrams --  Early works to 1800.; Acrostics --  Early works to 1800.
A10821,"The merchants mappe of commerce wherein, the universall manner and matter of trade, is compendiously handled. The standerd and currant coines of sundry princes, observed. The reall and imaginary coines of accompts and exchanges, expressed. The naturall and artificiall commodities of all countries for transportation declared. The weights and measures of all eminent cities and tovvnes of traffique, collected and reduced one into another; and all to the meridian of commerce practised in the famous citie of London. By Lewes Roberts, merchant. Necessary for all such as shall be imployed in the publique affaires of princes in forreigne parts; for all gentlemen and others that travell abroad for delight or pleasure, and for all merchants or their factors that exercise the art of merchandizing in any part of the habitable world.","Roberts, Lewes, 1596-1640.; Dalen, Cornelius van, engraver.",Printed by R O ulton Eliot s Court Press Thomas Harper and Felix Kingston for Ralph Mabb,At London,1638,Coinage --  Early works to 1800.; Weights and measures --  Early works to 1800.; Commerce --  Early works to 1800.; Balance of trade --  Early works to 1800.; Great Britain --  Commerce --  Early works to 1800.
A14277,"The blazon of iealousie· A subiect not written of by any heretofore· First written in Italian, by that learned gentleman Benedetto Varchi, sometimes Lord Chauncelor vnto the Signorie of Venice: and translated into English, with speciall notes vpon the same; by R.T. Gentleman.","Varchi, Benedetto, 1503-1565.; Tofte, Robert, 1561-1620. aut",Printed by T homas S nodham for Iohn Busbie and are to be sould at his shop in S Dunstans Church yard in Fleetstreet,London,1615,"Della Casa, Giovanni, 1503-1556.; Jealousy --  Early works to 1800."
A11110,"[The famous history, of Guy Earle of Warwicke]","Rowlands, Samuel, 1570?-1630?",E Allde,London,1620,Guy of Warwick (Romance)
A12957,"Essayes and characters, ironicall, and instructiue The second impression. With a new satyre in defence of common law and lawyers: mixt with reproofe against their common enemy. With many new characters, & diuers other things added; & euery thing ammended. By Iohn Stephens the yonger, of Lincolnes Inne, Gent.","Stephens, John, fl. 1613-1615.",Printed by E Allde for Phillip Knight and are to be solde at his shop in Chancery lane ouer against the Rowles,London,1615,Characters and characteristics --  Early works to 1800.
A14273,"The honourable prentice: or, This taylor is a man Shewed in the life and death of Sir John Hawekwood, sometime prentice of London: interlaced with the famous history of the noble Fitzwalter, Lord of Woodham in Essex, and of the poisoning of his faire daughter: Also of the merry customes of Dunmow, where any one may freely haue a gammon of bacon, that repents not mariage in a yeere and a day. Whereunto is annexed the most lamentable murther of Robert Hall at the high altar in Westminster Abbey.","Vallans, William.",By J Beale for Henry Gosson and are to be sold in Pannier Alley,Printed at London,1615,"Hawkwood, John, --  Sir, d. 1394 --  Early works to 1800.; Fitzwalter, Robert, d. 1235 --  Early works to 1800.; Hauley, Robert, d. 1378 --  Early works to 1800."
A10857,"The schoole of musicke wherein is taught, the perfect method, of true fingering of the lute, pandora, orpharion, and viol de gamba; with most infallible generall rules, both easie and delightfull. Also, a method, how you may be your owne instructer for prick-song, by the help of your lute, without any other teacher: with lessons of all sorts, for your further and better instruction. Newly composed by Thomas Robinson, lutenist.","Robinson, Thomas, fl. 1589-1609.",Printed by Tho Este for Simon Waterson dwelling at the signe of the Crowne in Paules Church yard,London,1603,Lute --  Instruction and study --  Early works to 1800.
A19837,"The true discription of a royall masque Presented at Hampton Court, vpon Sunday night, being the eight of Ianuary. 1604. And personated by the Queenes most excellent Majestie, attended by eleuen ladies of honour.","Daniel, Samuel, 1562-1619.",Printed by Edward Allde and are to be solde at the Long Shoppe adjoyning vnto S Mildreds Church in the Poultrye,London,1604,Masques --  Early works to 1800.
A33563,The clerk's tutor for writing Written and engraved by Edw. Cocker.,"Cocker, Edward, 1631-1675. Young clerk's tutor for writing.; Hawkins, John, 17th cent.",Printed for Jo Streater Ja Flesher and Hen Twyford Sold in Vine Court Middle Temple,London,1667,Copybooks --  England --  Early works to 1800.; Forms (Law) --  England --  Early works to 1800.
A38586,"Erōtopolis, the present state of Betty-land","Cotton, Charles, 1630-1687.",Printed for Tho Fox,London,1684,Sex --  Anecdotes
A32843,"Britannia Baconica: or, The natural rarities of England, Scotland, & Wales. According as they are to be found in every shire. Historically related, according to the precepts of the Lord Bacon; methodically digested; and the causes of may of them philosophically attempted. With observations upon them, and deductions from them, whereby divers secrets in nature are discovered, and some things hitherto reckoned prodigies, are fain to confess the cause whence they proceed. Usefull for all ingenious men of what profession of quality soever. / By J. Childrey.","Childrey, J. (Joshua), 1623-1670.",Printed for the author and are to be sold by H E at the sign of the Grey hound in St Pauls Church yard,London,1662,"Bacon, Francis, 1561-1626 --  Early works to 1800.; Natural history --  Great Britain --  Pre-Linnean works --  Early works to 1800.; Curiosities and wonders --  Early works to 1800."
A33319,"The life & death of Alexander the Great, the first founder of the Grecian empire ... as also, The life and death of Charles the Great, commonly called Charlemagne, the first founder of the French empire / by Sa. Clarke ...","Clarke, Samuel, 1599-1682.",Printed for William Miller,London,1665,"Alexander, --  the Great, 356-323 B.C.; Charlemagne, --  Emperor, 742-814."
A29987,The rehearsal,"Buckingham, George Villiers, Duke of, 1628-1687.",Printed for Thomas Dring,London,1672,"Dryden, John, 1631-1700 --  In literature."
A20435,"The coppie of the Anti-Spaniard made at Paris by a French man, a Catholique. Wherein is directly proued how the Spanish King is the onely cause of all the troubles in France. Translated out of French into English.","Arnauld, Antoine, 1560-1619, attributed name.; Munday, Anthony, 1553-1633.; Hurault, Michel, d. 1592.",printed by Iohn Wolfe,London,1590,"Philip --  II, --  King of Spain, 1527-1598 --  Early works to 1800.; France --  Politics and government --  1562-1598 --  Early works to 1800."
A28982,"A free enquiry into the vulgarly receiv'd notion of nature made in an essay address'd to a friend / by R.B., Fellow of the Royal Society.","Boyle, Robert, 1627-1691.",Printed by H Clark for John Taylor,London,1686,Nature --  Early works to 1800.; Natural history --  Pre-Linnean works.
