id,title,authors,publisher,pubplace,date,subject_heading
A84679,VVine and women or A briefe description of the common courtesie of a curtezan. Written solely for the benefit of immodest and intemperate youth.,"E. F. (Edward Ford), fl. 1630?-1660.",Printed by John Hammond,London,1646,Wine --  Early works to 1800.; Women --  Early works to 1800.
A81935,"An exact history of the several changes of government in England, from the horrid murther of King Charles I. to the happy restauration of King Charles II. With the renowned actions of General Monck. Being the second part of Florus anglicus, by J.D. Gent.","Dauncey, John, fl. 1633.; Bos, Lambert van den, 1640-1698. Florus Anglicanus.",Printed for Simon Miller at the Starre in St Paul s Church yard,London,1600,"Albemarle, George Monck, --  Duke of, 1608-1670 --  Early works to 1800.; Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800."
A89428,"A true and exact relation of the great and heavy pressures and grievances the well-affected of the northern bordering countries lye under, by Sir Arthur Haslerigs misgovernment, and placing in authority there for justices of the peace, commissioners for the militia, ministry, and sequestrations, malignants, and men disaffected to the present government, set forth in the petition, articles, letters and remonstrance, humbly presented to the councel of state, with his apologie to the Lord President, for publishing thereof. / By John Musgrave.","Musgrave, John, fl. 1654.",s n,London,1650,"Hesilrige, Arthur, --  Sir, d. 1661.; Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800."
A81080,"Unparalleld varieties: or, The matchless actions and passions of mankind. Displayed in near four hundred notable instances and examples. Discovering the transcendent effects; I. Of love, friendship, and gratitude. II. Of magnanimity, courage, and fidelity. III. Of chastity, temperance, and humility. And on the contrary the tremendous consequences, IV. Of hatred, revenge, and ingratitude. V. Of cowardice, barbarity, treachery. VI. Of unchastity, intemperance, and ambition. : Imbellished with proper figures. / By R.B. ...","R. B., 1632?-1725?",Printed for Nath Crouch at his shop at the sign of the Bell in the Poultry,London,1683,Curiosities and wonders.
A85770,"A display of heraldrie: manifesting a more easie access to the knowledge thereof then hath hitherto been published by any, through the benefit of method; / wherein it is now reduced by the study and industry of John Guillim ... Interlaced with much variety of history suitable to the severall occasions or subjects.","Nower, Francis, d. 1670.; Guillim, John, 1565-1621.",Printed by T R for Jacob Blome,London,1660,Heraldry.; Nobility --  Great Britain.
A89642,"The rule of penance of the seraphicall father S. Francis approued and confirmed by Leo the X. for religious persons  of the 3. order of S. Francis : together with a declaration of each point of the Rule, profitable not only to the religous of this order, but also to  all religious women / by Br. Angelus Francis, friar minour.",Angelus Francis.; Third Order Regular of St. Francis.,By the Widdow of Marke VVyon,At Douay,1644,Third Order Regular of St. Francis --  Rules.; Monasticism and religious orders for women --  Rules.
A91323,"The life of that incomparable man, Faustus Socinus Senensis, described by a Polonian knight. Whereunto is added an excellent discourse, which the same author would have had premised to the works of Socinus; together with a catalogue of those works.","Przypkowski, Samuel, 1592-1670.; Biddle, John, 1615-1662.",Printed for Richard Moone at the seven Stars in Pauls Church yard neer the great north doore,London,1653,"Socinus, Faustus, 1539-1604."
A91069,Prophesies. The 15. September. 1645.,Anonymous,s n,London,1646,Great Britain --  History --  Prophecies --  Early works to 1800.
A90743,"Phlebotomiographia or, a treatise of phlebotomy. Demonstrating the necessity of it in diseases; the time for elections. And likewise of the use and application of cupping-glasses, and leeches. Whereupon is added a brief and most methodicall tract of the crisis. Written originally in French, by Da de Plumis Campi chirurgion. And now faithfully rendred into English, by E.W. well-wisher to physick and chirurgery.","E. W.; Planis Campy, David de.",Printed by John Streater for John Place at Furnisalls Inne Gate and William Place at Grayes Inne Gate next Holburn,London,1658,Phlebotomy --  Early works to 1800.
A97083,"Britannicæ virtutis imago. Or, The effigies of true fortitude, expressed to the life, in the famous actions of that incomparable knight, Major Generall Smith, who is here represented, June, 1644.","Walsingham, Edward, d. 1663.",Printed by Henry Hall,Oxford,1644,"Smith, John, --  Sir, 1616-1644 --  Early works to 1800."
A96882,"As you were: or A posture of peace: presenting to your view the broken state of the kingdom, as it now stands, with a good way to rally it to its former happiness. With some remarkable passages of late agitation.","Woodward, Ezekias, 1590-1675.",s n,London,1647,"Great Britain --  History --  Civil War, 1642-1649 --  Peace --  Early works to 1800."
A90705,"The pimpes prerogative exactly and compendiously deciphered in a dialogue between Pimp-Major Pig, and Ancient Whiskin, two most eminent men in that faculty, with their exultation at the downfall of Doctors Commons.",Anonymous,s n,Imprinted at London,1641,Pimps --  Great Britain --  Early works to 1800.
A96768,"Se defendendo. A shield, and shaft, against detraction. Opposed, and drawn, by Capt. George Wither, by occasion of scandalous rumours, touching his deserting of Farnham-Castle; and some other malicious aspersions.","Wither, George, 1588-1667.",s n,London,1643,"Wither, George, 1588-1667.; Great Britain --  History --  Civil War, 1642-1649 --  Personal narratives."
A78526,"Cabala, mysteries of state, in letters of the great ministers of K. James and K. Charles. Wherein much of the publique manage of affaires is related. / Faithfully collected by a noble hand.",Noble hand.,Printed for M M G Bedell and T Collins and are to be sold at their shop at the Middle Temple Gate in Fleetstreet,London,1653,"James --  I, --  King of England, 1566-1625.; Charles --  I, --  King of England, 1600-1649.; Kings and rulers --  History --  Early works to 1800.; Great Britain --  Politics and government --  1603-1714 --  Early works to 1800."
A42501,"A collection out of the best approved authors containing histories of visions, apparitions, prophesies, spirits, divinations and other wonderful illusions of the devil wrought by magic or otherwise : also of divers astrological predictions shewing as the wickedness of the former, so the vanity of the latter, and the folly of trusting to them.","Gaule, John, 1604?-1687.",Printed for Joshua Kirton,London,1657,Occultism.; Magic.
A59326,A narrative written by E. Settle.,"Settle, Elkanah, 1648-1724.",Printed and are to be sold by Thomas Graves for the author,London,1683,"Popish Plot, 1678."
A14270,"The casket of iewels contaynynge a playne description of morall philophie [sic], diligently and after a very easie methode declared by the well learned and famous author Cornelius Valerius: lately turned out of Latin into Englishe, by I.C.","Valerius, Cornelius, 1512-1578.; Chardon, John, d. 1601.",By VVilliam Hovv for Richarde Iohnes,Imprinted at London,1571,Ethics --  Early works to 1800.; Conduct of life --  Early works to 1900.
A17230,"An English expositor teaching the interpretation of the hardest words vsed in our language. With sundry explications, descriptions, and discourses. By I.B. Doctor of Phisicke.",J. B. (John Bullokar),Printed by Iohn Legatt,London,1616,"English language --  Glossaries, vocabularies, etc."
A12767,"The art of logick deliuered in the precepts of Aristotle and Ramus. VVherein 1. The agreement of both authors is declared. 2. The defects in Ramus, are supplyed, and his superfluities pared off, by the precepts of Aristotle. 3. The precepts of both, are expounded and applyed to vse, by the assistance of the best schoolemen. By Tho: Spencer.","Spencer, Thomas, fl. 1628-1629.",Printed by Iohn Dawson for Nicholas Bourne at the south entrance of the Royall Exchange,London,1628,"Ramus, Petrus, 1515-1572.; Aristotle.; Logic --  Early works to 1800."
A11922,"The first booke of architecture, made by Sebastian Serly, entreating of geometrie. Translated out of Italian into Dutch, and out of Dutch into English","Serlio, Sebastiano, 1475-1554.; Peake, Robert, Sir, 1592?-1667.",Printed by Simon Stafford and Thomas Snodham for Robert Peake and are to be sold at his shop neere Holborne conduit next to the Sunne Tauerne,London,1611,Architecture --  Early works to 1800.
A13331,The ende of Nero and beginning of Galba Fower bookes of the Histories of Cornelius Tacitus. The life of Agricola.,"Savile, Henry, Sir, 1549-1622.; Tacitus, Cornelius.; Tacitus, Cornelius. Agricola. English.",By Ioseph Barnes and R Robinson London for Richard Wright,Printed at Oxforde,1591,"Agricola, Gnaeus Julius, 40-93.; Rome --  History --  Flavians, 69-96 --  Early works to 1800."
A18974,"Hērō-paideia, or The institution of a young noble man by James Cleland.","Cleland, James, d. 1627.",Printed by Ioseph Barnes,At Oxford,1607,Nobility --  Education --  Early works to 1800.; Courts and courtiers --  Early works to 1800.; Nobility --  Conduct of life --  Early works to 1800.
A06824,Count Mansfields directions of vvarre Giuen to all his officers and souldiers in generall.,"Mansfeld, Ernst, graf von, 1585-1626.; W. G., fl. 1624.",Printed by Edw Allde for Richard Whittaker and are to be sold at his shop in Pauls Church yard at the Kings head,London,1624,Military art and science --  Early works to 1800.
A02447,"The true picture and relation of Prince Henry his noble and vertuous disposition containing certaine observations and proofes of his towardly and notable inclination to vertue, of the pregnancie of his wit, farre above his age, comprehended in sundry of his witty and pleasant speaches. By W.H. With the true relation of the sicknesse and death of the same most illustrious prince, vvith the opening of his body. Written by a famous doctor of physick in French, and newly translated into English.","W. H., fl. 1634.; Mayerne, Théodore Turquet de, Sir, 1573-1655.; Haydone, William.",Printed by VVilliam Christian,At Leyden,1634,"Henry Frederick, --  Prince of Wales, 1594-1612 --  Early works to 1800."
A00173,The life or the ecclesiasticall historie of S. Thomas Archbishope of Canterbury,"Baronio, Cesare, 1538-1607.; A. B., fl. 1639.",Printed by the widow of J Blageart,Colloniæ i e Paris,1639,"Thomas, --  à Becket, Saint, 1118?-1170.; Great Britain --  History --  Henry II, 1154-1189 --  Early works to 1800."
A30077,"An English expositor teaching the interpretation of the hardest words used in our language : with sundry explications, descriptions and discourses / by I.B., doctor of physick.",J. B. (John Bullokar),Printed by Iohn Legatt and are to be sold by Andrew Crooke,London,1641,English language --  Dictionaries.; English language --  Foreign words and phrases --  Dictionaries.
A66698,"The lives of the most famous English poets, or, The honour of Parnassus in a brief essay of the works and writings of above two hundred of them, from the time of K. William the Conqueror to the reign of His present Majesty, King James II / written by William Winstanley, author of The English worthies ...","Winstanley, William, 1628?-1698.",Printed by H Clark for Samuel Manship,London,1687,"Poets, English."
A65910,"Memorials of the English affairs, or, An historical account of what passed from the beginning of the reign of King Charles the First, to King Charles the Second his happy restauration containing the publick transactions, civil and military : together with the private consultations and secrets of the cabinet.","Anglesey, Arthur Annesley, Earl of, 1614-1686.; Whitlocke, Bulstrode, 1605-1675 or 6.",Printed for Nathaniel Ponder,London,1682,"Great Britain --  History --  Puritan Revolution, 1642-1660.; Great Britain --  History --  Charles I, 1625-1649.; Great Britain --  History --  Charles II, 1660-1685."
A68946,"A summarie and true discourse of Sir Frances Drakes VVest Indian voyage wherein were taken, the townes of Saint Jago, Sancto Domingo, Cartagena & Saint Augustine.","Croftes, Lieutenant.; Boazio, Baptista. Famouse West Indian voyadge made by the Englishe fleete of 23 shippes and barkes wherin weare gotten the townes of St· Iago: :Sto: Domingo, Cartagena and :St: Augustines the same beinge begon from Plimmouth in the moneth of September 1585 and ended at Portesmouth in Iulie 1586.; Gates, Thomas, Sir, d. 1621.; Bigges, Walter, d. 1586.",By Richard Field dwelling in the Blacke Friars by Ludgate,Imprinted at London,1589,"Drake, Francis, --  Sir, 1540?-1596.; West Indies Expedition, 1585-1586.; Explorers --  Great Britain --  Biography.; Explorers --  America --  Biography."
A74230,"See, heer, malignants foolerie retorted on them properly The Sound-Head, Round-Head, Rattle-Head well plac'd, where best is merited.",Anonymous,s n,London,1642,"Philips, Robert, d. 1650? --  Early works to 1800.; Laud, William, 1573-1645 --  Early works to 1800.; Satire, English --  17th century.; Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800."
A70223,"The history of Whiggism, or, The Whiggish-plots, principles, and practices (mining and countermining the Tory-plots and principles) in the reign of King Charles the First, during the conduct of affaires, under the influence of the three great minions and favourites : Buckingham, Laud, and Strafford, and the sad forre-runners and prologues to that fatal-year (to England and Ireland) 41 : wherein (as in a mirrour) is shown the face of the late (we do not say the present) times.","Hickeringill, Edmund, 1631-1708.",Printed for E Smith,London,1682,"Great Britain --  History --  Charles I, 1625-1649.; Great Britain --  Politics and government --  1625-1649."
A51181,"Essays of Michael, seigneur de Montaigne in three books, with marginal notes and quotations of the cited authors, and an account of the author's life / new rendered into English by Charles Cotton, Esq.","Montaigne, Michel de, 1533-1592.; Cotton, Charles, 1630-1687.",Printed for T Basset and M Gilliflower and W Hensman,London,1685,"Montaigne, Michel de, 1533-1592."
A59339,Reflections on several of Mr. Dryden's plays particularly the first and second part of The conquest of Granado / by E. Settle.,"Settle, Elkanah, 1648-1724.",Printed for William Whitwood,London,1687,"Dryden, John, 1631-1700 --  Criticism and interpretation.; Dryden, John, 1631-1700. --  Conquest of Grenada by the Spaniards."
A59348,A supplement to The narrative in reply to the dulness and malice of two pretended answers to that pamphlet / written by E. Settle.,"Settle, Elkanah, 1648-1724.",Printed and sold by Thomas Graves for the author,London,1683,"Narrative.; Popish Plot, 1678.; Great Britain --  History --  Charles II, 1660-1685."
A52267,"An introduction to the art of rhetorick composed for the benefit of young schollars and others, who have not opportunity of being instructed in the Latine tongue ... / by John Newton ...","Newton, John, 1622-1678.",Printed by E T and R H for Thomas Passenger and Ben Hurlock,London,1671,Rhetoric --  Early works to 1800.
A57437,Englands safety in trades encrease most humbly presented to the high court of Parliament / by Henry Robinson ...,"Robinson, Henry, 1605?-1664?",Printed by E P for Nicholas Bourne,London,1641,Commerce --  Early works to 1800.; Great Britain --  Commerce.
A46661,"Invisibles, realities, demonstrated in the holy life and triumphant death of Mr. John Janeway, Fellow of King's Collegde in Cambridge. By James Janeway, Minister of the Gospel","Baxter, Richard, 1615-1691.; Janeway, James, 1636?-1674.; Borset, Samuel.",printed for Tho Parkhurst and are to be sold at the Bible and three Crowns in Cheapside neer Mercers Chappel and at the Bible on London Bridge under the Gate,London,1674,"Janeway, John, 1633-1657 --  Early works to 1800."
A47876,"The lawyer outlaw'd, or, A brief answer to Mr. Hunts defence of the charter with some useful remarks on the Commons proceedings in the last Parliament at Westminster, in a letter to a friend.","L'Estrange, Roger, Sir, 1616-1704.",Printed by N T for the author,London,1683,"Hunt, Thomas, 1627?-1688. --  Defence of the charter, and municipal rights of the city of London.; Popish Plot, 1678.; London (England) --  Charters, grants, privileges."
A45613,The common-wealth of Oceana,"Harrington, James, 1611-1677.",Printed by J Streater for Livewell Chapman and are to be sold at his shop,London,1656,Utopias.
A47682,Cassandra the fam'd romance : the whole work : in five parts / written originally in French ; now elegantly rendred into English by a person of quality.,"La Calprenède, Gaultier de Coste, seigneur de, d. 1663.; Cotterell, Charles, Sir, d. 1701.",Printed for Humphrey Moseley William Bentley and Thomas Heath,London,1652,"Cassander, --  King of Macedonia, ca. 358-297 B.C. --  Fiction.; Alexander, --  the Great, 356-323 B.C. --  Fiction."
A45112,The history of the houses of Douglas and Angus written by Master David Hume ...,"Hume, David, 1560?-1630?",Printed by Evan Tyler,Edinburgh,1643,"Douglas family --  History.; Angus, Earls of --  History.; Nobility --  Scotland --  Biography.; Scotland --  History."
A42323,"A display of heraldry manifesting a more easie access to the knowledge thereof than hath been hitherto published by any, through the benefit of method : whereunto it is now reduced by the study and industry of John Guillim ...","Logan, John, 17th cent.; Guillim, John, 1565-1621.; Barkham, John, 1572?-1642.",Printed by S Roycroft for R Blome and are sold by Francis Tyton Henry Brome Thomas Basset Richard Chiswell John Wright and Thomas Sawbridge,London,1679,Heraldry.; Heraldry --  England.
A44051,"The history of the life and death of Sr. Thomas More, Lord High Chancellor of England in King Henry the Eights time collected by J.H., Gent.","Hoddesdon, John, fl. 1650.",Printed for George Eversden and Henry Eversden,London,1662,"More, Thomas, --  Sir, Saint, 1478-1535."
A05335,"Of the interchangeable course, or variety of things in the whole world and the concurrence of armes and learning, thorough the first and famousest nations: from the beginning of ciuility, and memory of man, to this present. Moreouer, whether it be true or no, that there can be nothing sayd, which hath not bin said heretofore: and that we ought by our owne inuentions to augment the doctrine of the auncients; not contenting our selues with translations, expositions, corrections, and abridgments of their writings. Written in French by Loys le Roy called Regius: and translated into English by R.A.","Leroy, Louis, d. 1577.; Ashley, Robert, 1565-1641.",Printed by Charles Yetsweirt Esq at his house in Fleetestreete neere the Middle Temple gate,At London,1594,Civilization --  History --  Early works to 1800.
A09763,"The historie of the vvorld: commonly called, The naturall historie of C. Plinius Secundus. Translated into English by Philemon Holland Doctor of Physicke. The first [-second] tome","Holland, Philemon, 1552-1637.; Pliny, the Elder.",Printed by Adam Islip,London,1634,Natural history --  Pre-Linnean works.
A04923,"The appellation of Iohn Knoxe from the cruell and most iniust sentence pronounced against him by the false bishoppes and clergie of Scotland, with his supplication and exhortation to the nobilitie, estates, and co[m]munaltie of the same realme.","Gilby, Anthony, ca. 1510-1585. An admonition to England and Scotland.; Kethe, William, d. 1608?; Knox, John, ca. 1514-1572.",By J Poullain and A Rebul,Printed at Geneva,1558,"Knox, John, ca. 1514-1572."
A08913,"A treatise of the plague contayning the causes, signes, symptomes, prognosticks, and cure thereof. Together with sundry other remarkable passages (for the prevention of, and preservation from the pestilence) never yet published by anie man. Collected out of the workes of the no lesse learned than experimented and renowned chirurgian Ambrose Parey.","Paré, Ambroise, 1510?-1590. aut; Johnson, Thomas, d. 1644.",Printed by R Y oung and R C otes and are sold by Mich Sparke in the green Arbor Court in little Old Bailey at the blew Bible,London,1630,Plague --  Early works to 1800.
A06902,"The art of archerie Shewing how it is most necessary in these times for this kingdome, both in peace and war, and how it may be done without charge to the country, trouble to the people, or any hinderance to necessary occasions. Also, of the discipline, the postures, and whatsoever else is necessarie for the attayning to the art.","Markham, Gervase, 1568?-1637.",Printed by B ernard A lsop and T homas F awcett for Ben Fisher and are to be sold at his shop at the signe of the Talbot without Aldersgate,London,1634,Archery --  Early works to 1800.
A07398,The meeting of gallants at an ordinarie: or The walkes in Powles,"Dekker, Thomas, ca. 1572-1632, attributed name.; Middleton, Thomas, d. 1627, attributed name.",Printed by T C reede and are to be solde by Mathew Lawe dwelling in Paules Church yard,London,1604,Plague --  England --  London --  Early works to 1800.
A09517,"Digitus Dei. Or, Good newes from Holland Sent to the wor. Iohn Treffry and Iohn Trefusis. Esquires: as allso to all that haue shot arrows agayst Babels brats, and wish well to Sion wheresouer.","Peters, Hugh, 1598-1660.",Printed by Abraham Neringh printer in Rotterdam by the ould Head,Rotterdam,1631,"Netherlands --  History --  Wars of Independence, 1556-1648."
A05257,"The art of rhetorick concisely and compleatly handled exemplified out of holy writ, and with a compendious and perspicuous comment, fitted to the capacities of such as have had a smatch of learning, or are otherwise ingenious. By J.B. master of the free-school of Kinfare in Staffordshire.","Barton, John, master of the free school of Kinfare.",Printed for Nicolas Alsop and are to be sold at the Angel in Popes head alley,London,1634,Rhetoric --  Early works to 1800.
A06903,"Cauelarice, or The English horseman contayning all the arte of horse-manship, as much as is necessary for any man to vnderstand, whether he be horse-breeder, horse-ryder, horse-hunter, horse-runner, horse-ambler, horse-farrier, horse-keeper, coachman, smith, or sadler. Together, with the discouery of the subtill trade or mistery of horse-coursers, & an explanatio[n] of the excellency of a horses vndersta[n]ding, or how to teach them to doe trickes like Bankes his curtall: and that horses may be made to drawe drie-foot like a hound. Secrets before vnpublished, & now carefully set down for the profit of this whole nation: by Geruase Markham.","Markham, Gervase, 1568?-1637.",Printed by Edward Allde and W Jaggard for Edward White and are to be solde at his shop neare the little north doore of Saint Paules Church at the signe of the Gun,London,1607,Horsemanship --  Early works to 1800.
A07513,"The tryumphs of honor and industry A solemnity performed through the City, at confirmation and establishment of the Right Honorable, George Bovvles, in the office of his Maiesties lieuetenant, the Lord Mayor of the famous Citty of London. Taking beginning at his Lordships going, and proceeding after his returne from receiuing the oath of maioralty at Westminster, on the morrow next after Simon and Iudes day, October 29. 1617.","Middleton, Thomas, d. 1627.",Printed by Nicholas Okes,London,1617,"Bowles, George, --  Lord Mayor of London."
A14592,"A paterne of a passionate minde conteining a briefe description of the sundry straunge affects of the minde of man : in the ende where-of is set downe a lesson, meete to be learned of all estates in generall.","Rogers, Thomas, d. 1616. Philosophical discourse, entituled, The anatomie of the minde.; H. W.; Rogers, Thomas, d. 1616.",Printed by Thomas East,London,1580,Emotions --  Early works to 1850.
A13463,"The scourge of basenesse, or, The old lerry with a new kicksey, and a new cum twang with the old winsye wherein Iohn Taylor hath curried or clapperclawed, neere a thousand of his bad debters, who will not pay him vpon his returnes from Scotland, Germany, Bohemia, the voyages of the paper boate, and his nauigations to Yorke and Salsbury with Oates.","Taylor, John, 1580-1653.",Printed by N O for Mathew Walbancke dwelling in Grayes Inne,London,1624,Debt.
A11902,"The vvoorke of the excellent philosopher Lucius Annæus Seneca concerning benefyting that is too say the dooing, receyuing, and requyting of good turnes. Translated out of Latin by Arthur Golding.","Golding, Arthur, 1536-1606.; Seneca, Lucius Annaeus, ca. 4 B.C.-65 A.D.",By John Kingston for Iohn Day dwelling ouer Aldersgate,Imprinted at London,1578,Charity --  Early works to 1800.
A19043,Respublica de decimis. Written by Sir VVilliam Cockburne of Langtoun Knight,"Cockburn, William, Sir, d. 1628.",Printed by Iohn Wreittoun,Edinburgh,1627,Tithes --  Great Britain --  Early works to 1800.
A14295,"Naturall and artificial directions for health deriued from the best philosophers, as well moderne, as auncient. By William Vaughan, Master of Artes, and student in the ciuill law.","Vaughan, William, 1577-1641.",Printed by Richard Bradocke,London,1600,Health --  Early works to 1800.
A18272,"The pleasant history of Cawwood the rooke. Or, The assembly of birds with the severall speeches which the birds made to the eagle, in hope to have the government in his absence: and lastly, how the rooke was banished; with the reason why crafty fellowes are called rookes. As also fit morralls and expositions added to every chapter.",Anonymous,Printed by T C otes for F Grove and are to be sold at his shoppe at the upper end of Snow Hill neere the Sarazens head without Nevv Gate,London,1640,"Fables, English --  Early works to 1800."
A13983,"A continuation of The collection of the history of England beginning where Samuel Daniell Esquire ended, with the raigne of Edvvard the third, and ending where the honourable Vicount Saint Albones began, with the life of Henry the seventh, being a compleat history of the begining and end of the dissention betwixt the two houses of Yorke and Lancaster. With the matches and issue of all the kings, princes, dukes, marquesses, earles, and vicounts of this nation, deceased, during those times. By I.T.","Trussel, John, fl. 1620-1642.; Daniel, Samuel, 1562-1619. Collection of the historie of England.",Printed by M D awson for Ephraim Dawson and are to bee sold in Fleet street at the signe of the Rainebowe neere the inner Temple gate,London,1636,"Great Britain --  History --  Richard II, 1377-1399 --  Early works to 1800.; Great Britain --  History --  Lancaster and York, 1399-1485 --  Early works to 1800."
A15364,A discourse concerning a new world & another planet in 2 bookes.,"Marshall, William, fl. 1617-1650, engraver.; Wilkins, John, 1614-1672.",Printed by John Norton and R Hearne for Iohn Maynard are to be sold at the George in Fleetstreet neare St Dunstans Church,London,1640,Astronomy --  Early works to 1800.; Life on other planets --  Early works to 1800.; Plurality of worlds --  Early works to 1800.; Moon --  Early works to 1800.; Earth --  Early works to 1800.
A35976,"A late discourse made in a solemne assembly of nobles and learned men at Montpellier in France touching the cure of wounds by the powder of sympathy : with instructions how to make the said powder : whereby many other secrets of nature are unfolded / by Sr. Kenelme Digby, knight ; rendred faithfully out of French into English by R. White.","Digby, Kenelm, Sir, 1603-1665.; White, R., Gent.",Printed for R Lownes and T Davies,London,1658,Wounds and injuries --  Treatment.
A30658,"A commentary on Antoninus, his Itinerary, or, Journies of the Romane Empire, so far as it concerneth Britain wherein the first foundation of our cities, lawes, and government, according to the Roman policy, are clearly discovered ... / by VVilliam Burton ... ; with a chorographicall map of the severall stations, and index's to the whole work.","Burton, William, 1609-1657.",Printed by Tho Roycroft and are to be sold by Henry Twyford and T Twyford,London,1658,"Antoninus Pius, --  Emperor of Rome, 86-161.; Itinerarium Antonini.; Names, Geographical --  Latin.; Names, Geographical --  England.; Great Britain --  History --  Roman period, 55 B.C.-449 A.D.; Great Britain --  Antiquities, Roman."
A21131,"Obseruations vpon the fiue first bookes of Cæsars commentaries setting fourth the practise of the art military in the time of the Roman Empire : wherein are handled all the chiefest point of their discipline, with the true reason of euery part, together with such instructions as may be drawn from their proceedings, for the better direction of our moderne warres / by Clement Edmunds.","Edmondes, Clement, Sir, 1566 or 7-1622.; Caesar, Julius. De bello Gallico. English. Abridgments.",Printed by Peter Short dwelling on Bredstreet hill at the signe of the Starre,At London,1600,"Caesar, Julius. --  De bello Gallico. --  English. --  Abridgments.; Military art and science --  Early works to 1800.; Rome --  History --  Republic, 265-30 B.C. --  Early works to 1800.; Gaul --  History --  Gallic Wars, 58-51 B.C. --  Early works to 1800."
