page,text
70,"<p>to their notions, to have branded any one at random with this opprobrious mark, is to have refuted him without any trouble, by a single word. By the simple imputation of the name of heretic, they think that they have despatched their man at one blow. To men of this kind I answer, that in the time of the apostles, ere the New Testament was written, whenever the charge of heresy was applied as a term of reproach, that alone was considered as heresy which was at variance with their doctrine orally delivered,—and that those only were looked upon as heretics, who according to Rom. xvi. 17, 18. <i>caused divisions and offences contrary to the doctrine</i> of the apostles......<i>serving not our Lord Jesus Christ, but their own belly.</i> By parity of reasoning therefore, since the compilation of the New Testament, I maintain that nothing but what is in contradiction to it can properly be called heresy.</p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;For my own part, I adhere to the Holy Scriptures alone—I follow no other heresy or sect. I had not even read any of the works of heretics, so called, when the mistakes of those who are reckoned for orthodox,<sup>7</sup> and their incautious handling of Scripture, first taught</p>"
71,"<p>me to agree with their opponents whenever those opponents <strong>agreed</strong> with Scripture. If this be heresy, I confess with St. Paul, Acts xxiv. 14. <em>that after the way which they call heresy, so worship I the God of my fathers, believing all things which are written in the law and the prophets</em> — to which I add, whatever is written in the New Testament. Any other judges or chief interpreters of the Christian belief, together with all implicit faith, as it is called, I, in common with the whole Protestant Church, refuse to recognize.<sup>8</sup></p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;For the rest, brethren, cultivate truth with brotherly love. Judge of my present undertaking according to the admonishing of the Spirit of God — and neither adopt my sentiments, nor reject them, unless every doubt has been removed from your belief by the clear testimony of revelation. Finally, live in the faith of our Lord and Saviour Jesus Christ. Farewell.</p>"
72,"<center>A POSTHUMOUS TREATISE

ON

<h2>THE CHRISTIAN DOCTRINE,</h2>

<small>COMPILED FROM THE HOLY SCRIPTURES ALONE:</small>

IN TWO BOOKS:

BY

<h3>JOHN MILTON.</h3>

---

**BOOK I.**

---

**CHAPTER I.**

<small>OF THE CHRISTIAN DOCTRINE, AND THE NUMBER OF ITS DIVISIONS.</small></center>

**T**HE CHRISTIAN DOCTRINE is that DIVINE REVELATION disclosed to all ages by CHRIST (though he was not known under that name in the beginning) concerning the nature and worship of the Deity, for the promotion of the glory of God, and the salvation of mankind.

It is not unreasonable to assume that Christians believe in the Scriptures whence this doctrine is derived—but the authority of those Scriptures will be examined in the proper place.

CHRIST. Matt. xi. 27. *neither knoweth any man the Father, save the Son, and he to whomsoever the Son will reveal him.* John i. 4. *in him was life, and the life was the light of men.* v. 9. *that was the true light which lighteth every man that cometh into the world.* 1 Pet. iii. 19. *by which also he went and preached unto the spirits in prison.*"
73,"<p style=""text-align:center"">10</p>

<p>Under the definition of C<span style=""font-variant:small-caps"">hrist</span> are also comprehended Moses and the Prophets, who were his forerunners, and the Apostles whom he sent. Gal. iii. 24. <i>the law was our schoolmaster to bring us unto Christ, that we might be justified by faith.</i> Heb. xiii. 8. <i>Jesus Christ, the same yesterday, to-day, and for ever.</i> Col. ii. 17. <i>which are a shadow of things to come: but the body is of Christ.</i> 1 Pet. i. 10, 11. <i>who prophesied of the grace that should come unto you: searching what, or what manner of time the Spirit of Christ which was in them did signify.</i> Rom. i. 1. <i>Paul, a servant of Jesus Christ:</i> in which manner he begins nearly all the rest of his epistles. 1 Cor. iv. 1. <i>let a man so account of us, as of the ministers of Christ.</i></p>

<p>D<span style=""font-variant:small-caps"">ivine</span> R<span style=""font-variant:small-caps"">evelation</span>. Isai. li. 4. <i>a law shall proceed from me.</i> Matt. xvi. 17. <i>flesh and blood hath not revealed it unto thee, but my Father which is in heaven.</i> John vi. 46. <i>they shall be all taught of God.</i> ix. 29. <i>we know that God spake unto Moses.</i> Gal. i. 11, 12. <i>the gospel which was preached of me is not after man; for I neither received it of man.</i> 1 Thess. iv. 9. <i>ye yourselves are taught of God.</i></p>

<p>This doctrine, therefore, is to be obtained, not from the schools of the philosophers, nor from the laws of man, but from the Holy Scriptures alone, under the guidance of the Holy Spirit. 2 Tim. i. 14. <i>that good thing which was committed unto thee keep by the Holy Ghost which dwelleth in us.</i> Col. ii. 8. <i>lest any man spoil you through philosophy.</i> Dan. iii. 16. <i>we are not careful to answer thee in this matter.</i> Acts iv. 19. <i>whether it be right in the sight of God to hearken unto you more than unto God, judge ye.</i></p>

<p>In this treatise then no novelties of doctrine are taught; but, for the sake of assisting the memory, what is dispersed throughout the different parts of the Holy Scriptures is conveniently reduced into one compact body as it were, and digested under certain heads. This method might be easily defended on the ground of Christian prudence, but it seems better to rest its authority on the divine command; Matt. xiii. 52. <i>every</i></p>"
74,"<p><i>scribe which is instructed unto the kingdom of heaven is like unto a man which is an householder, which bringeth forth out of his treasure things new and old.</i> So also the Apostle says, 2 Tim. i. 13. <i>hold fast the form</i>—which the author of the Epistle to the Hebrews seems to have determined to adopt as the rule of his own conduct for teaching the heads of Christian doctrine in methodical arrangement: vi. 1—3. <i>of repentance from dead works, and of faith toward God, of the doctrine of baptisms, and of laying on of hands, and of resurrection of the dead, and of eternal judgement; and this will we do, if God permit.</i> This usage of the Christians was admirably suited for Catechumens when first professing their faith in the Church. Allusion is made to the same system in Rom. vi. 17. <i>ye have obeyed from the heart that form of doctrine which was delivered you.</i> In this passage the Greek word τυπὸς, as well as ὑποτύπωσις 2 Tim. i. 13. seems to signify either that part of the evangelical Scriptures which were then written (as in Rom. ii. 20. μόρφωσις, <i>the form of knowledge and of the truth in the law,</i> signified the law itself) or some systematic course of instruction derived from them or from the whole doctrine of the gospel. Acts xx. 27. <i>I have not shunned to declare unto you all the counsel of God</i>—which must mean some entire body of doctrine, formed according to a certain plan, though probably not of great extent, since the whole was gone through, and perhaps even repeated several times during St. Paul's stay at Ephesus, which was about the space of three years.</p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;Christian doctrine is comprehended under two divisions,—F<small>AITH</small>, <small>OR THE KNOWLEDGE OF</small> G<small>OD</small>,—and L<small>OVE</small>, <small>OR THE WORSHIP OF</small> G<small>OD</small>. Gen. xvii. 1. <i>walk before me, and be thou perfect.</i> Psal. xxxvii. 3. <i>trust in Jehovah, and do good.</i> Luke xi. 28. <i>blessed are they that hear the word of God, and keep it.</i> Acts xxiv. 14. <i>believing all things</i>—and v. 16. <i>herein do I exercise myself.</i> 2 Tim. i. 13. <i>hold fast the form of sound words which thou hast heard of me, in faith and in love which is in Christ Jesus.</i> 1 Tim. i. 19. <i>holding faith and a good conscience.</i> Tit. iii. 8. <i>that they which have believed might be careful</i>—. 1 John. iii. 23. <i>that we should believe and love.</i></p>"
75,"<html>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;These two divisions, though they are distinct in their own nature, and put asunder for the convenience of teaching, cannot be separated in practice. Rom. ii. 13. <i>not the hearers of the law, but the doers of the law shall be justified.</i> James i. 22. <i>be ye doers of the word, and not hearers only.</i> Besides, obedience and love are always the best guides to knowledge, and often lead the way from small beginnings, to a greater and more flourishing degree of proficiency. Psal. xxv. 14. <i>the secret of Jehovah is with them that fear him.</i> John vii. 17. <i>if any man will do his will, he shall know of the doctrine.</i> viii. 31, 32. <i>if ye continue in my word......ye shall know the truth, and the truth shall make you free.</i> 1 John ii. 3. <i>hereby we do know that we know him, if we keep his commandments.</i></p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;It must be observed, that Faith in this division does not mean the habit of believing, but the things to be habitually believed. So Acts vi. 7. <i>were obedient to the faith.</i> Gal. i. 23. <i>he preacheth the faith.</i></p>
</html>"
76,"<h2>CHAP. II.</h2>

<h3>Of God.</h3>

<p>&nbsp;&nbsp;&nbsp;&nbsp;<b>T</b>hough there be not a few who deny the existence of God,<sup>9</sup> for <i>the fool hath said in his heart, There is no God,</i> Psal. xiv. 1. yet the Deity has imprinted upon the human mind so many unquestionable tokens of himself, and so many traces of him are apparent throughout the whole of nature, that no one in his senses can remain ignorant of the truth. Job xii. 9. <i>who knoweth not in all these that the hand of Jehovah hath wrought this?</i> Psal. xix. 1. <i>the heavens declare the glory of God.</i> Acts xiv. 17. <i>he left not himself without witness.</i> xvii. 27, 28. <i>he is not far from every one of us.</i> Rom. i. 19, 20. <i>that which may be known of God is manifest in them.</i> and ii. 14, 15. <i>the Gentiles .... shew the work of the law written in their hearts, their conscience also bearing witness.</i> 1 Cor. i. 21. <i>after that in the wisdom of God, the world by wisdom knew not God, it pleased God by the foolishness of preaching to save them that believe.</i> There can be no doubt but that every thing in the world, by the beauty of its order, and the evidence of a determinate and beneficial purpose which pervades it, testifies that some supreme efficient Power must have pre-existed, by which the whole was ordained for a specific end.</p>"
77,"<p>There are some who pretend that nature or fate is this supreme Power:<sup>1</sup> but the very name of nature implies that it must owe its birth to some prior agent, or, to speak properly, signifies in itself nothing; but means either the essence of a thing, or that general law which is the origin of every thing, and under which every thing acts,—and fate can be nothing but a divine decree emanating from some almighty power.</p>

<p>Further, those who attribute the creation of every thing to nature, must necessarily associate chance with nature as a joint divinity; so that they gain nothing by this theory, except that in the place of that one God, whom they cannot tolerate, they are obliged, however reluctantly, to substitute two sovereign rulers of affairs, who must almost always be in opposition to each other. In short, many ocular demonstrations, many true predictions verified, many wonderful works have compelled all nations to believe, either that God, or that some evil power whose name was unknown, presided over the affairs of the world. Now that evil should prevail over good, and be the true supreme power, is as unmeet as it is incredible. Hence it follows as a necessary consequence, that God exists.</p>

<p>Again: the existence of God is further proved by that feeling, whether we term it conscience, or right reason,<sup>2</sup> which even in the worst of characters is not altogether extinguished. If there were no God, there</p>"
78,"<p>would be no distinction between right and wrong; the estimate of virtue and vice would entirely depend on the blind opinion of men; no one would follow virtue, no one would be restrained from vice by any sense of shame, or fear of the laws, unless conscience or right reason did from time to time convince every one, however unwilling, of the existence of God, the Lord and ruler of all things, to whom, sooner or later, each must give an account of his own actions, whether good or bad.</p>

<p>The whole tenor of Scripture proves the same thing; and the disciples of the doctrine of Christ may fairly be required to give assent to this truth in the first instance, according to the expression in Heb. xi. 6. <i>he that cometh to God, must believe that he is.</i> It is proved also by the dispersion of the ancient nation of the Jews throughout the whole world, according to what God often forewarned them would happen on account of their sins. Nor is it only to pay the penalty of their own guilt that they have been reserved in their scattered state, among the rest of the nations, through the revolution of successive ages, and even to the present day; but rather to be a perpetual and living testimony to all people under heaven, of the existence of God, and of the truth of the Holy Scriptures.</p>

<p>No one, however, can have right thoughts of God, with nature or reason alone as his guide, independent of the word, or message of God.<sup>3</sup> Rom. x. 14. <i>how shall they believe in him of whom they have not heard?</i></p>"
79,"<p>16</p>

<p>God is known, so far as he is pleased to make us acquainted with himself, either from his own nature, or from his efficient power.</p>

<p>When we speak of knowing God, it must be understood with reference to the imperfect comprehension of man; for to know God as he really is, far transcends the powers of man's thoughts, much more of his perception. 1 Tim. vi. 16. <em>dwelling in the light which no man can approach unto.</em> God therefore has made as full a revelation of himself as our minds can conceive, or the weakness of our nature can bear. Exod. xxxiii. 20, 23. <em>there shall no man see me, and live . . . . . but thou shalt see my back parts.</em> Isai. vi. 1. <em>I saw the Lord sitting upon a throne, high and lifted up, and his train filled the temple.</em> John i. 18. <em>no man hath seen God at any time.</em> vi. 46. <em>not that any man hath seen the Father, save he which is of God, he hath seen the Father.</em> v. 37. <em>ye have neither heard his voice at any time.</em> 1 Cor. xiii. 12. <em>we see through a glass, darkly . . . . . in part.</em></p>

<p>Our safest way is to form in our minds such a conception of God, as shall correspond with his own delineation and representation of himself in the sacred writings. For granting that both in the literal and figurative descriptions of God, he is exhibited not as he really is, but in such a manner as may be within the scope of our comprehensions, yet we ought to entertain such a conception of him, as he, in condescending to accommodate himself to our capacities, has shewn that he desires we should conceive. For it is on this very account that he has lowered himself to our level, lest in our flights above the reach of human understanding, and beyond the written word of Scripture, we should be tempted to indulge in vague cogitations and subtleties.<sup>4</sup></p>"
80,"<p>There is no need then that theologians should have recourse here to what they call anthropopathy<sup>5</sup>—a figure invented by the grammarians to excuse the absurdities of the poets on the subject of the heathen divinities. We may be sure that sufficient care has been taken that the Holy Scriptures should contain nothing unsuitable to the character or dignity of God, and that God should say nothing of himself which could derogate from his own majesty. It is better therefore to contemplate the Deity, and to conceive of him, not with reference to human passions, that is, after the manner of men, who are never weary of forming subtle imaginations respecting him, but after the manner of Scripture, that is, in the way in which God has offered himself to our contemplation; nor should we think that he would say or direct anything to be written of himself, which is inconsistent with the opinion he wishes us to entertain of his character. Let us require no better authority than God himself for determining what is worthy or unworthy of him. If <i>it repented Jehovah that he had made man,</i> Gen. vi. 6. and <i>because of their groanings,</i> Judges ii. 18, let us believe that it did repent him, only taking care to remember that what is called repentance when applied to God, does not arise from inadvertency, as in men; for so he has himself cautioned us, Num. xxiii. 19. <i>God is not a man that he should lie, neither the son of man that he should repent.</i> See also 1 Sam. xv. 29. Again, if <i>it grieved the Lord at his heart,</i> Gen. vi. 6. and if <i>his soul were grieved for the misery of Israel,</i> Judges x. 16, let us believe that it did grieve him. For the affections which in a good man are good, and rank with virtues, in God are holy. If after the work of six days it be said of God that <i>he rested and was refreshed,</i> Exod. xxxi. 17. if it be said that <i>he feared the wrath of the enemy,</i> Deut. xxxii. 27, let us believe that it is not beneath the dignity of God to grieve in that for which he is grieved, or to be refreshed in that which refresheth him, or to fear in that he</p>"
